Technique,Topic,Target Level,Output Length,Model,Prompt,Rewrite Prompt,Text,Flesch-Kincaid,Flesch Ease,ARI,SMOG,Gunning Fog,Coleman-Liau,Spache,Linsear Write
Zero-Shot,astronomy,Middle School,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level Middle School. Limit the output to 50 words.,,Generate a short paragraph about 'astronomy' targeting readability level Middle School. Limit the output to 50 words.,10.1,37.47,10.8,0.0,12.81,13.77,5.58,5.25
Zero-Shot,astronomy,Middle School,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level Middle School. Limit the output to 50 words.,,"Generate a short paragraph about 'astronomy' targeting readability level Middle School. Limit the output to 50 words. Astronomy is the study of stars, planets, and other objects in space. Scientists called astronomers use telescopes to see far away things in the universe. They learn about how these objects form, move, and change over time.",6.3,68.97,9.1,9.4,8.76,11.29,4.59,5.6
Zero-Shot,astronomy,Middle School,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level Middle School. Limit the output to 50 words.,,"Generate a short paragraph about 'astronomy' targeting readability level Middle School. Limit the output to 50 words. Astronomy is the study of stars, planets, and other objects in space. It helps us understand the universe and how it works. We use special tools like telescopes to see far-off objects.",7.1,61.53,7.9,9.4,8.0,10.12,4.5,5.1
Zero-Shot,astronomy,Middle School,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level Middle School. Limit the output to 50 words.,,"Generate a short paragraph about 'astronomy' targeting readability level Middle School. Limit the output to 50 words. Astronomy is the study of stars, planets, and other objects in space. It's like being a cosmic detective, solving mysteries of the universe!",8.4,52.87,9.4,10.7,11.0,11.57,5.47,5.75
Zero-Shot,astronomy,Middle School,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level Middle School. Limit the output to 50 words.,,"Generate a short paragraph about 'astronomy' targeting readability level Middle School. Limit the output to 50 words. Astronomy, the study of stars and planets, is like looking into a giant mystery book. We use big telescopes to see far-off galaxies and learn about our universe.",7.7,60.01,8.8,10.1,9.85,10.65,5.1,6.125
Zero-Shot,astronomy,Middle School,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level Middle School. Limit the output to 50 words.,,Generate a short paragraph about 'astronomy' targeting readability level Middle School. Limit the output to 50 words.,10.1,37.47,10.8,0.0,12.81,13.77,5.58,5.25
Zero-Shot,astronomy,Middle School,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level Middle School. Limit the output to 50 words.,,"Generate a short paragraph about 'astronomy' targeting readability level Middle School. Limit the output to 50 words. ""Astronomy is the study of space. It includes stars, planets, galaxies, and other celestial bodies. We use telescopes to see them. It's like exploring the universe!""",7.3,55.71,8.5,9.7,10.32,10.68,4.85,3.916666666666667
Zero-Shot,astronomy,Middle School,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level Middle School. Limit the output to 50 words.,,"Generate a short paragraph about 'astronomy' targeting readability level Middle School. Limit the output to 50 words. In the vast night sky, astronomy helps us understand stars, planets, and galaxies. It's like a big puzzle; scientists use special tools and math to solve it.",7.6,60.31,8.9,11.2,10.76,10.65,4.74,6.5
Zero-Shot,astronomy,Middle School,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level Middle School. Limit the output to 50 words.,,"Generate a short paragraph about 'astronomy' targeting readability level Middle School. Limit the output to 50 words. Astronomy is the science of studying everything in the universe beyond Earth. It includes stars, planets, galaxies, and even black holes.",8.2,53.37,10.4,10.7,10.12,12.84,5.57,5.5
Zero-Shot,astronomy,Middle School,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level Middle School. Limit the output to 50 words.,,"Generate a short paragraph about 'astronomy' targeting readability level Middle School. Limit the output to 50 words. Astronomy, the study of space, is like a giant puzzle. We use special tools, like telescopes, to look far away. We find stars, galaxies, and even black holes! It's exciting to learn about the universe.",5.5,71.1,7.2,9.3,8.1,8.89,4.05,4.5
