Technique,Topic,Target Level,Output Length,Model,Prompt,Rewrite Prompt,Text,Flesch-Kincaid,Flesch Ease,ARI,SMOG,Gunning Fog,Coleman-Liau,Spache,Linsear Write
Zero-Shot,astronomy,College,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level College. Limit the output to 50 words.,,"Generate a short paragraph about 'astronomy' targeting readability level College. Limit the output to 50 words. Astronomy, the scientific study of celestial objects, space, and the physical universe, employs principles of physics, mathematics, and chemistry to explore phenomena ranging from the motion of planets to the origin and evolution of stars and galaxies.",13.7,28.13,15.1,15.0,16.89,15.37,7.39,13.166666666666666
Zero-Shot,astronomy,College,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level College. Limit the output to 50 words.,,"Generate a short paragraph about 'astronomy' targeting readability level College. Limit the output to 50 words. Astronomy, the scientific study of celestial objects and phenomena that originate outside Earth's atmosphere, explores the physical and chemical properties of objects in the universe, their origins, and their evolution over time.",13.1,29.86,15.4,15.5,18.07,16.76,6.86,12.666666666666666
Zero-Shot,astronomy,College,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level College. Limit the output to 50 words.,,"Generate a short paragraph about 'astronomy' targeting readability level College. Limit the output to 50 words. Astronomy, the scientific study of celestial objects, phenomena, and processes, involves observation, measurement, and theoretical interpretation. It spans fields like astrophysics, cosmology, and planetary science.",14.4,10.26,16.7,14.6,19.73,19.87,6.9,8.125
Zero-Shot,astronomy,College,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level College. Limit the output to 50 words.,,Generate a short paragraph about 'astronomy' targeting readability level College. Limit the output to 50 words.,10.0,37.98,10.8,0.0,13.2,13.7,5.73,5.0
Zero-Shot,astronomy,College,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level College. Limit the output to 50 words.,,Generate a short paragraph about 'astronomy' targeting readability level College. Limit the output to 50 words.,10.0,37.98,10.8,0.0,13.2,13.7,5.73,5.0
Zero-Shot,astronomy,College,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level College. Limit the output to 50 words.,,"Generate a short paragraph about 'astronomy' targeting readability level College. Limit the output to 50 words. Astronomy, the scientific study of celestial objects and phenomena, employs mathematics, physics, and chemistry to understand the universe's origin, evolution, and structure. It explores galaxies, stars, planets, and other celestial bodies, and their interactions, seeking to unravel the cosmic mysteries.",13.5,23.43,16.0,14.9,16.31,17.74,6.96,11.25
Zero-Shot,astronomy,College,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level College. Limit the output to 50 words.,,"Generate a short paragraph about 'astronomy' targeting readability level College. Limit the output to 50 words. Astronomy, the scientific study of celestial objects and phenomena, uses mathematical models and observational data to explore the universe's origins, structure, and evolution. It encompasses diverse fields like cosmology, planetary science, and astrophysics, pushing boundaries of human knowledge.",14.5,15.47,16.5,14.6,17.25,18.96,7.84,10.75
Zero-Shot,astronomy,College,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level College. Limit the output to 50 words.,,Generate a short paragraph about 'astronomy' targeting readability level College. Limit the output to 50 words.,10.0,37.98,10.8,0.0,13.2,13.7,5.73,5.0
Zero-Shot,astronomy,College,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level College. Limit the output to 50 words.,,"Generate a short paragraph about 'astronomy' targeting readability level College. Limit the output to 50 words. Astronomy, the scientific study of celestial objects, space, and the physical universe, offers insights into the vastness and complexity of the cosmos. Through observations, calculations, and theoretical models, astronomers explore the origins, evolution, and ultimate fate of stars, galaxies, and other celestial bodies.",13.8,22.61,15.9,14.6,16.09,17.33,7.0,11.375
Zero-Shot,astronomy,College,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level College. Limit the output to 50 words.,,"Generate a short paragraph about 'astronomy' targeting readability level College. Limit the output to 50 words. Astronomy, the scientific study of celestial objects and phenomena that originate outside Earth's atmosphere, involves physics, mathematics, and chemistry. It explores the universe's evolution, structure, and composition, with key areas including planetary science, stellar astronomy, and cosmology.",14.4,15.68,17.1,15.2,18.15,19.24,7.25,11.125
