Technique,Topic,Target Level,Output Length,Model,Prompt,Rewrite Prompt,Text,Flesch-Kincaid,Flesch Ease,ARI,SMOG,Gunning Fog,Coleman-Liau,Spache,Linsear Write
Zero-Shot,astronomy,Research,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level Research. Limit the output to 50 words.,,"Generate a short paragraph about 'astronomy' targeting readability level Research. Limit the output to 50 words. ""Astronomy, the scientific study of celestial objects and phenomena, uses physics, mathematics, and chemistry to understand the universe's vast and diverse phenomena. It encompasses topics like the origin and evolution of stars, galaxies, and the universe itself, as well as the search for exoplanets and the nature of dark matter and dark energy.""",12.4,37.0,14.0,14.9,15.62,14.09,6.64,12.875
Zero-Shot,astronomy,Research,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level Research. Limit the output to 50 words.,,Generate a short paragraph about 'astronomy' targeting readability level Research. Limit the output to 50 words.,10.0,37.98,11.1,0.0,13.2,14.05,6.27,5.0
Zero-Shot,astronomy,Research,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level Research. Limit the output to 50 words.,,"Generate a short paragraph about 'astronomy' targeting readability level Research. Limit the output to 50 words. ""Astronomy, the scientific study of celestial objects and phenomena that originate outside Earth's atmosphere, is a fascinating field that seeks to understand the universe's vastness and complexity. It encompasses a broad range of topics, from the nature of stars and planets to the behavior of galaxies and black holes.""",12.0,38.01,13.5,14.9,16.37,14.27,6.44,12.375
Zero-Shot,astronomy,Research,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level Research. Limit the output to 50 words.,,Generate a short paragraph about 'astronomy' targeting readability level Research. Limit the output to 50 words.,10.0,37.98,11.1,0.0,13.2,14.05,6.27,5.0
Zero-Shot,astronomy,Research,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level Research. Limit the output to 50 words.,,"Generate a short paragraph about 'astronomy' targeting readability level Research. Limit the output to 50 words. Astronomy, the scientific study of celestial objects and phenomena that originate outside Earth's atmosphere, is a fundamental field in understanding the universe.",13.0,24.74,14.5,14.6,17.71,17.1,6.7,10.333333333333334
Zero-Shot,astronomy,Research,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level Research. Limit the output to 50 words.,,"Generate a short paragraph about 'astronomy' targeting readability level Research. Limit the output to 50 words. In astronomy, scientists study celestial objects and phenomena using observations and theoretical models. They aim to understand the universe's origin, evolution, and ultimate fate.",13.1,19.03,13.6,13.8,17.0,16.79,6.76,7.5
Zero-Shot,astronomy,Research,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level Research. Limit the output to 50 words.,,"Generate a short paragraph about 'astronomy' targeting readability level Research. Limit the output to 50 words. In astronomy, we study celestial bodies like stars, planets, and galaxies, seeking to understand their origins, structures, and behaviors. This requires advanced knowledge in physics, mathematics, and technology.",11.1,34.93,14.3,12.6,13.49,16.86,6.49,7.25
Zero-Shot,astronomy,Research,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level Research. Limit the output to 50 words.,,"Generate a short paragraph about 'astronomy' targeting readability level Research. Limit the output to 50 words. Here's the prompt: ""Describe astronomy, its history, and its current state in under 50 words.""

""Astronomy, the study of celestial objects, has ancient roots. Today, it's a high-tech field using powerful telescopes and spacecraft to explore the universe, from planets to black holes.""",9.1,51.04,11.5,10.8,8.79,12.98,5.27,6.7
Zero-Shot,astronomy,Research,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level Research. Limit the output to 50 words.,,"Generate a short paragraph about 'astronomy' targeting readability level Research. Limit the output to 50 words. ""Astronomy, the scientific study of celestial objects and phenomena that originate outside Earth's atmosphere, is a branch of space science. It employs physics, mathematics, and chemistry to explain and predict celestial events. Telescopes and spacecraft are used for observation and data collection.""",11.4,34.32,13.4,12.7,13.61,15.81,6.18,7.6
Zero-Shot,astronomy,Research,50,mistralai/Mistral-Nemo-Instruct-2407,Generate a short paragraph about 'astronomy' targeting readability level Research. Limit the output to 50 words.,,"Generate a short paragraph about 'astronomy' targeting readability level Research. Limit the output to 50 words. No contractions.

Astronomy is the scientific study of celestial objects and phenomena that originate outside Earth's atmosphere. It involves observations and theories to understand the universe's structure and evolution.",12.4,26.17,14.4,14.6,17.85,17.61,6.63,8.625
